month,retailer,revenue
"April 1, 2021, 12:00 AM",Foot Locker,"68,402"
"April 1, 2021, 12:00 AM",Kohl's,"124,109"
"April 1, 2021, 12:00 AM",Sports Direct,"139,241"
"April 1, 2021, 12:00 AM",Walmart,"20,826"
"April 1, 2021, 12:00 AM",West Gear,"73,486"
"May 1, 2021, 12:00 AM",Amazon,"49,586"
"May 1, 2021, 12:00 AM",Foot Locker,"113,977"
"May 1, 2021, 12:00 AM",Kohl's,"173,867"
"May 1, 2021, 12:00 AM",Sports Direct,"136,158"
"May 1, 2021, 12:00 AM",Walmart,"27,310"
"May 1, 2021, 12:00 AM",West Gear,"107,886"
"June 1, 2021, 12:00 AM",Amazon,"59,207"
"June 1, 2021, 12:00 AM",Foot Locker,"198,448"
"June 1, 2021, 12:00 AM",Kohl's,"58,167"
"June 1, 2021, 12:00 AM",Sports Direct,"93,048"
"June 1, 2021, 12:00 AM",Walmart,"48,605"
"June 1, 2021, 12:00 AM",West Gear,"158,358"
"July 1, 2021, 12:00 AM",Amazon,"68,997"
"July 1, 2021, 12:00 AM",Foot Locker,"225,266"
"July 1, 2021, 12:00 AM",Kohl's,"65,073"
"July 1, 2021, 12:00 AM",Sports Direct,"112,267"
"July 1, 2021, 12:00 AM",Walmart,"77,108"
"July 1, 2021, 12:00 AM",West Gear,"186,150"
"August 1, 2021, 12:00 AM",Amazon,"62,454"
"August 1, 2021, 12:00 AM",Foot Locker,"154,517"
"August 1, 2021, 12:00 AM",Kohl's,"63,298"
"August 1, 2021, 12:00 AM",Sports Direct,"198,842"
"August 1, 2021, 12:00 AM",Walmart,"68,670"
"August 1, 2021, 12:00 AM",West Gear,"133,781"
"September 1, 2021, 12:00 AM",Amazon,"46,365"
"September 1, 2021, 12:00 AM",Foot Locker,"80,978"
"September 1, 2021, 12:00 AM",Kohl's,"48,328"
"September 1, 2021, 12:00 AM",Sports Direct,"287,134"
"September 1, 2021, 12:00 AM",Walmart,"33,422"
"September 1, 2021, 12:00 AM",West Gear,"68,710"
"October 1, 2021, 12:00 AM",Amazon,"54,902"
"October 1, 2021, 12:00 AM",Foot Locker,"105,303"
"October 1, 2021, 12:00 AM",Kohl's,"45,410"
"October 1, 2021, 12:00 AM",Sports Direct,"197,875"
"October 1, 2021, 12:00 AM",Walmart,"27,838"
"October 1, 2021, 12:00 AM",West Gear,"75,756"
"November 1, 2021, 12:00 AM",Amazon,"75,339"
"November 1, 2021, 12:00 AM",Foot Locker,"171,598"
"November 1, 2021, 12:00 AM",Kohl's,"59,666"
"November 1, 2021, 12:00 AM",Sports Direct,"116,339"
"November 1, 2021, 12:00 AM",Walmart,"24,360"
"November 1, 2021, 12:00 AM",West Gear,"110,880"
"December 1, 2021, 12:00 AM",Amazon,"89,878"
"December 1, 2021, 12:00 AM",Foot Locker,"261,377"
"December 1, 2021, 12:00 AM",Kohl's,"73,654"
"December 1, 2021, 12:00 AM",Sports Direct,"138,528"
"December 1, 2021, 12:00 AM",Walmart,"13,423"
"December 1, 2021, 12:00 AM",West Gear,"165,338"
