invoice_date,product,region,retailer,sales_method,state,price_per_unit,total,units_sold
"March 18, 2020",Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,"4,750",95
"March 31, 2020",Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,"4,625",93
"April 17, 2020",Men's Apparel,Northeast,Walmart,Outlet,New York,60,"5,400",90
"April 18, 2020",Women's Apparel,Northeast,Walmart,Outlet,New York,65,"6,988",108
"April 19, 2020",Men's Street Footwear,Northeast,Walmart,Outlet,New York,60,"7,200",120
"April 20, 2020",Men's Athletic Footwear,Northeast,Walmart,Outlet,New York,55,"5,500",100
"April 21, 2020",Women's Street Footwear,Northeast,Walmart,Outlet,New York,50,"4,625",93
"April 22, 2020",Women's Athletic Footwear,Northeast,Walmart,Outlet,New York,50,"4,500",90
"April 23, 2020",Men's Apparel,Northeast,Walmart,Outlet,New York,60,"5,400",90
"April 24, 2020",Women's Apparel,Northeast,Walmart,Outlet,New York,65,"6,500",100
"April 25, 2020",Men's Apparel,Northeast,Walmart,Outlet,New York,65,"5,688",88
"April 26, 2020",Women's Apparel,Northeast,Walmart,Outlet,New York,70,"7,000",100
"April 27, 2020",Men's Street Footwear,Northeast,Walmart,Outlet,New York,65,"7,475",115
"April 28, 2020",Men's Athletic Footwear,Northeast,Walmart,Outlet,New York,55,"5,363",98
"April 29, 2020",Women's Street Footwear,Northeast,Walmart,Outlet,New York,55,"5,060",92
"April 30, 2020",Women's Athletic Footwear,Northeast,Walmart,Outlet,New York,55,"4,950",90
"May 1, 2020",Men's Apparel,Northeast,Walmart,Outlet,New York,65,"5,688",88
"May 2, 2020",Women's Apparel,Northeast,Walmart,Outlet,New York,70,"6,825",98
"May 3, 2020",Men's Street Footwear,Northeast,Walmart,Outlet,New York,65,"7,800",120
"May 4, 2020",Men's Athletic Footwear,Northeast,Walmart,Outlet,New York,55,"5,500",100
"May 5, 2020",Women's Street Footwear,Northeast,Walmart,Outlet,New York,55,"5,225",95
"May 6, 2020",Women's Athletic Footwear,Northeast,Walmart,Outlet,New York,55,"4,950",90
"May 7, 2020",Men's Apparel,Northeast,Walmart,Outlet,New York,65,"5,850",90
"July 18, 2020",Women's Apparel,Northeast,Walmart,Outlet,New York,70,"7,000",100
"July 19, 2020",Men's Street Footwear,Northeast,Sports Direct,Outlet,New York,25,"2,250",90
"July 20, 2020",Men's Athletic Footwear,Northeast,Sports Direct,Outlet,New York,35,"3,150",90
"July 21, 2020",Women's Street Footwear,Northeast,Sports Direct,Outlet,New York,35,"2,450",70
"July 22, 2020",Women's Athletic Footwear,Northeast,Sports Direct,Outlet,New York,35,"2,450",70
"July 23, 2020",Men's Apparel,South,Sports Direct,Outlet,Texas,40,"2,200",55
"July 24, 2020",Women's Apparel,South,Sports Direct,Outlet,Texas,35,"2,450",70
"July 25, 2020",Men's Street Footwear,South,Sports Direct,Outlet,Texas,25,"2,125",85
"July 26, 2020",Men's Athletic Footwear,South,Sports Direct,Outlet,Texas,35,"2,975",85
"July 27, 2020",Women's Street Footwear,South,Sports Direct,Outlet,Texas,35,"2,363",68
"July 28, 2020",Women's Athletic Footwear,South,Sports Direct,Outlet,Texas,35,"2,188",63
"July 29, 2020",Men's Apparel,South,Sports Direct,Outlet,Texas,40,"2,000",50
"July 30, 2020",Women's Apparel,South,Sports Direct,Outlet,Texas,35,"2,450",70
"July 31, 2020",Men's Street Footwear,South,Sports Direct,Outlet,Texas,30,"2,625",88
"August 1, 2020",Men's Athletic Footwear,South,Sports Direct,Outlet,Texas,40,"3,500",88
"August 2, 2020",Women's Street Footwear,South,Sports Direct,Outlet,Texas,35,"2,450",70
"August 3, 2020",Women's Athletic Footwear,South,Sports Direct,Outlet,Texas,40,"2,400",60
"August 4, 2020",Men's Apparel,South,Sports Direct,Outlet,Texas,45,"2,250",50
"August 5, 2020",Women's Apparel,South,Sports Direct,Outlet,Texas,40,"2,600",65
"August 6, 2020",Men's Street Footwear,South,Sports Direct,Outlet,Texas,30,"2,700",90
"August 7, 2020",Men's Athletic Footwear,South,Sports Direct,Outlet,Texas,40,"3,600",90
"August 8, 2020",Women's Street Footwear,South,Sports Direct,Outlet,Texas,35,"2,538",73
"August 9, 2020",Women's Athletic Footwear,South,Sports Direct,Outlet,Texas,40,"2,500",63
"August 10, 2020",Men's Apparel,South,Walmart,Outlet,Texas,45,"2,363",53
"August 11, 2020",Women's Apparel,South,Walmart,Outlet,Texas,40,"3,200",80
"August 12, 2020",Men's Street Footwear,South,Walmart,Outlet,Texas,30,"2,775",93
"August 13, 2020",Men's Athletic Footwear,South,Walmart,Outlet,Texas,40,"3,700",93
"August 14, 2020",Women's Street Footwear,South,Walmart,Outlet,Texas,35,"2,713",78
"August 15, 2020",Women's Athletic Footwear,South,Walmart,Outlet,Texas,40,"2,800",70
"August 16, 2020",Men's Apparel,South,Walmart,Outlet,Texas,45,"2,700",60
"August 17, 2020",Women's Apparel,South,Walmart,Outlet,Texas,40,"3,800",95
"August 18, 2020",Men's Street Footwear,South,Walmart,Outlet,Texas,40,"3,800",95
"August 19, 2020",Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,"4,275",95
"August 20, 2020",Women's Street Footwear,South,Walmart,Outlet,Texas,40,"3,200",80
"August 21, 2020",Women's Athletic Footwear,South,Walmart,Outlet,Texas,40,"3,000",75
"August 22, 2020",Men's Apparel,South,Walmart,Outlet,Texas,45,"2,925",65
"August 23, 2020",Women's Apparel,South,Walmart,Outlet,Texas,50,"5,000",100
"August 24, 2020",Men's Street Footwear,South,Walmart,Outlet,Texas,40,"3,800",95
"August 25, 2020",Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,"4,275",95
"August 26, 2020",Women's Street Footwear,South,Walmart,Outlet,Texas,40,"4,400",110
"August 27, 2020",Women's Athletic Footwear,South,Walmart,Outlet,Texas,40,"2,800",70
"August 28, 2020",Men's Apparel,South,Walmart,Outlet,Texas,45,"3,150",70
"August 29, 2020",Women's Apparel,South,Walmart,Outlet,Texas,50,"4,875",98
"August 30, 2020",Men's Street Footwear,South,Walmart,Outlet,Texas,40,"3,700",93
"August 31, 2020",Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,"4,163",93
"September 1, 2020",Women's Street Footwear,South,Walmart,Outlet,Texas,40,"4,400",110
"September 2, 2020",Women's Athletic Footwear,South,Walmart,Outlet,Texas,40,"2,600",65
"September 3, 2020",Men's Apparel,South,Walmart,Outlet,Texas,45,"2,925",65
"September 4, 2020",Women's Apparel,South,Walmart,Outlet,Texas,50,"4,500",90
"September 5, 2020",Men's Street Footwear,South,Walmart,Outlet,Texas,45,"3,825",85
"September 6, 2020",Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,"3,825",85
"September 7, 2020",Women's Street Footwear,South,Walmart,Outlet,Texas,50,"4,500",90
"September 8, 2020",Women's Athletic Footwear,South,Walmart,Outlet,Texas,50,"3,125",63
"September 9, 2020",Men's Apparel,South,Walmart,Outlet,Texas,45,"2,813",63
"September 10, 2020",Women's Apparel,South,Walmart,Outlet,Texas,55,"4,675",85
"September 11, 2020",Men's Street Footwear,South,Walmart,Outlet,Texas,45,"3,600",80
"September 12, 2020",Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,"3,600",80
"September 13, 2020",Women's Street Footwear,South,Walmart,Outlet,Texas,50,"3,750",75
"September 14, 2020",Women's Athletic Footwear,South,Walmart,Outlet,Texas,50,"3,000",60
"September 15, 2020",Men's Apparel,South,Walmart,Outlet,Texas,45,"2,588",58
"September 16, 2020",Women's Apparel,South,Walmart,Outlet,Texas,55,"4,125",75
"October 20, 2020",Men's Street Footwear,South,Walmart,Outlet,Texas,45,"4,050",90
"October 21, 2020",Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,"4,050",90
"October 22, 2020",Women's Street Footwear,South,Walmart,Outlet,Texas,50,"4,125",83
"October 23, 2020",Women's Athletic Footwear,South,Walmart,Outlet,Texas,50,"3,375",68
"October 24, 2020",Men's Apparel,South,Walmart,Outlet,Texas,45,"2,925",65
"October 25, 2020",Women's Apparel,South,Walmart,Outlet,Texas,55,"4,675",85
"October 26, 2020",Men's Street Footwear,South,Walmart,Outlet,Texas,45,"4,275",95
"October 27, 2020",Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,"4,275",95
"October 28, 2020",Women's Street Footwear,South,Walmart,Outlet,Texas,50,"4,250",85
"October 29, 2020",Women's Athletic Footwear,South,Walmart,Outlet,Texas,50,"3,500",70
"October 30, 2020",Men's Apparel,South,Walmart,Outlet,Texas,45,"2,925",65
"October 31, 2020",Women's Apparel,South,Walmart,Outlet,Texas,55,"4,950",90
"November 1, 2020",Men's Street Footwear,South,West Gear,Outlet,Texas,40,"3,100",78
"November 2, 2020",Men's Athletic Footwear,South,West Gear,Outlet,Texas,50,"3,875",78
"November 3, 2020",Women's Street Footwear,South,West Gear,Outlet,Texas,50,"3,875",78
"November 4, 2020",Women's Athletic Footwear,South,West Gear,Outlet,Texas,50,"3,125",63
"November 5, 2020",Men's Apparel,West,West Gear,Outlet,California,55,"3,163",58
"November 6, 2020",Women's Apparel,West,West Gear,Outlet,California,50,"3,875",78
"November 7, 2020",Men's Street Footwear,West,West Gear,Outlet,California,40,"3,300",83
"November 8, 2020",Men's Athletic Footwear,West,West Gear,Outlet,California,50,"3,625",73
"November 9, 2020",Women's Street Footwear,West,West Gear,Outlet,California,50,"3,625",73
"November 10, 2020",Women's Athletic Footwear,West,West Gear,Outlet,California,50,"2,875",58
"November 11, 2020",Men's Apparel,West,West Gear,Outlet,California,55,"2,750",50
"November 12, 2020",Women's Apparel,West,West Gear,Outlet,California,50,"3,500",70
"November 13, 2020",Men's Street Footwear,West,West Gear,Outlet,California,50,"4,250",85
"November 14, 2020",Men's Athletic Footwear,West,West Gear,Outlet,California,60,"4,200",70
"November 15, 2020",Women's Street Footwear,West,West Gear,Outlet,California,60,"4,200",70
"December 22, 2020",Women's Athletic Footwear,West,West Gear,Outlet,California,60,"3,600",60
"December 23, 2020",Men's Apparel,West,West Gear,Outlet,California,65,"3,250",50
"December 24, 2020",Women's Apparel,West,West Gear,Outlet,California,60,"4,200",70
"December 25, 2020",Men's Street Footwear,West,West Gear,Outlet,California,60,"5,250",88
"December 26, 2020",Men's Athletic Footwear,West,West Gear,Outlet,California,65,"4,388",68
"December 27, 2020",Women's Street Footwear,West,West Gear,Outlet,California,65,"4,713",73
"December 28, 2020",Women's Athletic Footwear,West,West Gear,Outlet,California,60,"3,750",63
"December 29, 2020",Men's Apparel,West,West Gear,Outlet,California,65,"3,413",53
"December 30, 2020",Women's Apparel,West,West Gear,Outlet,California,80,"5,600",70
"December 31, 2020",Men's Street Footwear,West,West Gear,Outlet,California,60,"5,400",90
"January 1, 2021",Men's Athletic Footwear,West,West Gear,Outlet,California,65,"4,875",75
"January 2, 2021",Women's Street Footwear,West,West Gear,Outlet,California,65,"4,875",75
"January 3, 2021",Women's Athletic Footwear,West,West Gear,Outlet,California,60,"3,900",65
"January 4, 2021",Men's Apparel,West,West Gear,Outlet,California,65,"3,575",55
"January 5, 2021",Women's Apparel,West,West Gear,Outlet,California,80,"5,800",73
"January 6, 2021",Men's Street Footwear,West,West Gear,Outlet,California,60,"5,850",98
"January 7, 2021",Men's Athletic Footwear,West,West Gear,Outlet,California,65,"5,363",83
"January 8, 2021",Women's Street Footwear,West,West Gear,Outlet,California,65,"5,363",83
"January 9, 2021",Women's Athletic Footwear,West,West Gear,Outlet,California,60,"4,200",70
"January 10, 2021",Men's Apparel,West,West Gear,Outlet,California,65,"3,738",58
"January 11, 2021",Women's Apparel,West,West Gear,Outlet,California,80,"7,000",88
"January 12, 2021",Men's Street Footwear,West,West Gear,Outlet,California,60,"6,150",103
"January 13, 2021",Men's Athletic Footwear,West,West Gear,Outlet,California,65,"5,688",88
"January 14, 2021",Women's Street Footwear,West,West Gear,Outlet,California,65,"5,363",83
"January 15, 2021",Women's Athletic Footwear,West,West Gear,Outlet,California,60,"4,350",73
"January 16, 2021",Men's Apparel,West,West Gear,Outlet,California,65,"5,038",78
"January 17, 2021",Women's Apparel,West,West Gear,Outlet,California,80,"6,200",78
"January 18, 2021",Men's Street Footwear,West,West Gear,Outlet,California,65,"6,338",98
"January 19, 2021",Men's Athletic Footwear,West,West Gear,Outlet,California,70,"6,475",93
"January 20, 2021",Women's Street Footwear,West,West Gear,Outlet,California,65,"5,200",80
"January 21, 2021",Women's Athletic Footwear,West,West Gear,Outlet,California,65,"4,875",75
"January 22, 2021",Men's Apparel,West,West Gear,Outlet,California,75,"5,625",75
"January 23, 2021",Women's Apparel,West,West Gear,Outlet,California,80,"5,800",73
"January 24, 2021",Men's Street Footwear,West,West Gear,Outlet,California,55,"5,088",93
"January 25, 2021",Men's Athletic Footwear,West,West Gear,Outlet,California,60,"5,550",93
"January 26, 2021",Women's Street Footwear,West,West Gear,Outlet,California,55,"4,263",78
"January 27, 2021",Women's Athletic Footwear,West,West Gear,Outlet,California,55,"3,988",73
"January 28, 2021",Men's Apparel,West,West Gear,Outlet,California,65,"4,713",73
"January 29, 2021",Women's Apparel,West,West Gear,Outlet,California,70,"5,425",78
"January 30, 2021",Men's Street Footwear,West,West Gear,Outlet,California,55,"4,813",88
"January 31, 2021",Men's Athletic Footwear,West,West Gear,Outlet,California,60,"5,250",88
"February 1, 2021",Women's Street Footwear,West,West Gear,Outlet,California,55,"3,850",70
"February 2, 2021",Women's Athletic Footwear,West,West Gear,Outlet,California,55,"3,713",68
"February 3, 2021",Men's Apparel,West,West Gear,Outlet,California,65,"4,225",65
"February 4, 2021",Women's Apparel,West,West Gear,Outlet,California,70,"4,900",70
"February 5, 2021",Men's Street Footwear,West,West Gear,Outlet,California,55,"4,813",88
"February 6, 2021",Men's Athletic Footwear,West,West Gear,Outlet,California,60,"5,250",88
"February 7, 2021",Women's Street Footwear,West,West Gear,Outlet,California,55,"3,988",73
"February 8, 2021",Women's Athletic Footwear,West,West Gear,Outlet,California,55,"3,850",70
"February 9, 2021",Men's Apparel,West,West Gear,Outlet,California,65,"4,225",65
"February 10, 2021",Women's Apparel,West,West Gear,Outlet,California,70,"5,425",78
"February 11, 2021",Men's Street Footwear,West,West Gear,Outlet,California,55,"5,363",98
"February 12, 2021",Men's Athletic Footwear,West,West Gear,Outlet,California,60,"5,850",98
"February 13, 2021",Women's Street Footwear,West,West Gear,Outlet,California,55,"4,263",78
"February 14, 2021",Women's Athletic Footwear,West,West Gear,Outlet,California,55,"4,263",78
"February 15, 2021",Men's Apparel,West,West Gear,Outlet,California,65,"4,550",70
"February 16, 2021",Women's Apparel,West,West Gear,Outlet,California,70,"5,600",80
"February 17, 2021",Men's Street Footwear,West,Kohl's,Outlet,California,35,"2,450",70
"February 18, 2021",Men's Athletic Footwear,West,Kohl's,Outlet,California,45,"3,150",70
"March 9, 2021",Women's Street Footwear,West,Kohl's,Outlet,California,45,"3,150",70
"March 10, 2021",Women's Athletic Footwear,West,Kohl's,Outlet,California,45,"2,475",55
"March 11, 2021",Men's Apparel,West,Kohl's,Outlet,California,50,"2,500",50
"March 12, 2021",Women's Apparel,West,Kohl's,Outlet,California,45,"3,150",70
"March 13, 2021",Men's Street Footwear,West,Kohl's,Outlet,California,35,"2,625",75
"March 14, 2021",Men's Athletic Footwear,West,Kohl's,Outlet,California,45,"2,925",65
"March 15, 2021",Women's Street Footwear,West,Kohl's,Outlet,California,45,"3,038",68
"March 16, 2021",Women's Athletic Footwear,West,Kohl's,Outlet,California,45,"2,363",53
"March 17, 2021",Men's Apparel,West,Kohl's,Outlet,California,50,"2,250",45
"March 18, 2021",Women's Apparel,West,Kohl's,Outlet,California,45,"2,925",65
"March 19, 2021",Men's Street Footwear,West,Kohl's,Outlet,California,35,"2,800",80
"March 20, 2021",Men's Athletic Footwear,West,Kohl's,Outlet,California,45,"2,925",65
"March 21, 2021",Women's Street Footwear,West,Kohl's,Outlet,California,45,"2,925",65
"March 22, 2021",Women's Athletic Footwear,West,Kohl's,Outlet,California,45,"2,475",55
"March 23, 2021",Men's Apparel,West,Kohl's,Outlet,California,50,"2,125",43
"April 6, 2021",Women's Apparel,West,Kohl's,Outlet,California,45,"2,813",63
"April 7, 2021",Men's Street Footwear,West,Kohl's,Outlet,California,45,"3,600",80
"April 8, 2021",Men's Athletic Footwear,West,Kohl's,Outlet,California,50,"3,000",60
"April 9, 2021",Women's Street Footwear,West,Kohl's,Outlet,California,50,"3,125",63
"April 10, 2021",Women's Athletic Footwear,West,Kohl's,Outlet,California,45,"2,363",53
"April 11, 2021",Men's Apparel,West,Kohl's,Outlet,California,50,"2,125",43
"April 12, 2021",Women's Apparel,West,Kohl's,Outlet,California,65,"3,900",60
"April 13, 2021",Men's Street Footwear,West,Kohl's,Outlet,California,45,"3,600",80
"April 14, 2021",Men's Athletic Footwear,West,Kohl's,Outlet,California,50,"3,250",65
"April 15, 2021",Women's Street Footwear,West,Kohl's,Outlet,California,50,"3,250",65
"April 16, 2021",Women's Athletic Footwear,West,Kohl's,Outlet,California,45,"2,475",55
"April 17, 2021",Men's Apparel,West,Kohl's,Outlet,California,50,"2,250",45
"April 18, 2021",Women's Apparel,West,Kohl's,Outlet,California,65,"4,063",63
"April 19, 2021",Men's Street Footwear,West,Kohl's,Outlet,California,45,"4,050",90
"April 20, 2021",Men's Athletic Footwear,West,Kohl's,Outlet,California,50,"3,750",75
"April 21, 2021",Women's Street Footwear,West,Kohl's,Outlet,California,50,"3,750",75
"April 22, 2021",Women's Athletic Footwear,West,Kohl's,Outlet,California,45,"2,813",63
"April 23, 2021",Men's Apparel,West,Kohl's,Outlet,California,50,"2,500",50
"April 24, 2021",Women's Apparel,West,Kohl's,Outlet,California,65,"5,200",80
"April 25, 2021",Men's Street Footwear,West,Kohl's,Outlet,California,45,"4,275",95
"April 26, 2021",Men's Athletic Footwear,West,Kohl's,Outlet,California,50,"4,000",80
"April 27, 2021",Women's Street Footwear,West,Kohl's,Outlet,California,50,"3,750",75
"April 28, 2021",Women's Athletic Footwear,West,Kohl's,Outlet,California,45,"2,925",65
"April 29, 2021",Men's Apparel,West,Kohl's,Outlet,California,50,"3,500",70
"April 30, 2021",Women's Apparel,West,Kohl's,Outlet,California,65,"4,550",70
"May 1, 2021",Men's Street Footwear,West,Kohl's,Outlet,California,50,"4,500",90
"May 2, 2021",Men's Athletic Footwear,West,Kohl's,Outlet,California,55,"4,675",85
"May 3, 2021",Women's Street Footwear,West,Kohl's,Outlet,California,50,"3,625",73
"May 4, 2021",Women's Athletic Footwear,West,Kohl's,Outlet,California,50,"3,375",68
"May 5, 2021",Men's Apparel,West,Kohl's,Outlet,California,60,"4,050",68
"May 6, 2021",Women's Apparel,West,Kohl's,Outlet,California,65,"4,225",65
"May 7, 2021",Men's Street Footwear,West,Kohl's,Outlet,California,50,"4,250",85
"May 8, 2021",Men's Athletic Footwear,West,Kohl's,Outlet,California,55,"4,675",85
"May 9, 2021",Women's Street Footwear,West,Kohl's,Outlet,California,50,"3,500",70
"May 10, 2021",Women's Athletic Footwear,West,Kohl's,Outlet,California,50,"3,250",65
"May 11, 2021",Men's Apparel,West,Kohl's,Outlet,California,60,"3,900",65
"May 12, 2021",Women's Apparel,West,Kohl's,Outlet,California,65,"4,550",70
"May 13, 2021",Men's Street Footwear,West,Kohl's,Outlet,California,50,"4,000",80
"May 14, 2021",Men's Athletic Footwear,West,Kohl's,Outlet,California,55,"4,400",80
"May 15, 2021",Women's Street Footwear,West,Kohl's,Outlet,California,50,"3,250",65
"May 16, 2021",Women's Athletic Footwear,West,Kohl's,Outlet,California,50,"3,125",63
"May 17, 2021",Men's Apparel,West,Kohl's,Outlet,California,60,"3,600",60
"May 18, 2021",Women's Apparel,West,Kohl's,Outlet,California,65,"4,225",65
"May 19, 2021",Men's Street Footwear,West,Kohl's,Outlet,California,50,"4,125",83
"May 20, 2021",Men's Athletic Footwear,West,Kohl's,Outlet,California,55,"4,538",83
"May 21, 2021",Women's Street Footwear,West,Kohl's,Outlet,California,50,"3,375",68
"May 22, 2021",Women's Athletic Footwear,West,Kohl's,Outlet,California,50,"3,250",65
"May 23, 2021",Men's Apparel,West,Kohl's,Outlet,California,60,"3,600",60
"May 24, 2021",Women's Apparel,West,Kohl's,Outlet,California,65,"4,550",70
"May 25, 2021",Men's Street Footwear,West,Kohl's,Outlet,California,50,"4,500",90
"May 26, 2021",Men's Athletic Footwear,West,Kohl's,Outlet,California,55,"4,950",90
"May 27, 2021",Women's Street Footwear,West,Kohl's,Outlet,California,50,"3,500",70
"May 28, 2021",Women's Athletic Footwear,West,Kohl's,Outlet,California,50,"3,500",70
"May 29, 2021",Men's Apparel,West,Kohl's,Outlet,California,60,"3,750",63
"May 30, 2021",Women's Apparel,West,Kohl's,Outlet,California,65,"4,713",73
"May 31, 2021",Men's Street Footwear,West,Foot Locker,Outlet,California,45,"2,138",48
"June 1, 2021",Men's Athletic Footwear,West,Foot Locker,Outlet,California,45,"1,238",28
"June 2, 2021",Women's Street Footwear,West,Foot Locker,Outlet,California,35,963,28
"June 3, 2021",Women's Athletic Footwear,West,Foot Locker,Outlet,California,40,500,13
"June 4, 2021",Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,55,963,18
"June 5, 2021",Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,45,"1,238",28
"June 6, 2021",Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,45,"2,363",53
"June 7, 2021",Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,45,788,18
"June 8, 2021",Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,35,788,23
"June 9, 2021",Women's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,40,400,10
"June 10, 2021",Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,55,963,18
"June 11, 2021",Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,45,"1,238",28
"June 12, 2021",Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,50,"2,475",50
"June 13, 2021",Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,50,"1,000",20
"June 14, 2021",Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,40,900,23
"June 15, 2021",Women's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,45,338,8
"June 16, 2021",Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,60,750,13
"June 17, 2021",Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,50,"1,125",23
"June 18, 2021",Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,50,"2,250",45
"June 19, 2021",Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,50,750,15
"June 20, 2021",Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,40,600,15
"June 21, 2021",Women's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,45,338,8
"June 22, 2021",Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,60,600,10
"June 23, 2021",Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,50,"1,125",23
"June 24, 2021",Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,60,"2,970",50
"June 25, 2021",Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,55,"1,100",20
"June 26, 2021",Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,50,875,18
"June 27, 2021",Women's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,50,500,10
