product,region,sales_method,revenue,units_sold,transactions,revenue_per_transaction,units_per_transaction
Women's Apparel,West,Online,"115,486","3,674",168,687,21.87
Women's Street Footwear,Southeast,Online,"112,168","3,903",132,849,29.57
Men's Street Footwear,Midwest,Online,"111,599","4,625",194,575,23.84
Men's Athletic Footwear,West,Online,"111,034","4,091",168,660,24.35
Men's Street Footwear,West,Online,"109,915","4,615",168,654,27.47
Women's Street Footwear,West,Outlet,"109,855","3,529",125,878,28.23
Men's Apparel,Southeast,In-store,"109,242","1,651",32,"3,413",51.59
Women's Street Footwear,Southeast,In-store,"108,241","1,967",33,"3,280",59.61
Women's Athletic Footwear,South,Outlet,"108,091","3,679",144,750,25.55
Men's Athletic Footwear,Northeast,Outlet,"105,852","2,976",127,833,23.43
Men's Apparel,South,Outlet,"104,871","3,421",144,728,23.76
Women's Athletic Footwear,Southeast,Online,"102,029","3,328",132,772,25.21
Men's Athletic Footwear,South,Online,"99,347","3,647",141,704,25.87
Women's Street Footwear,West,Online,"97,677","3,649",168,581,21.72
Men's Apparel,West,Outlet,"97,394","2,767",126,772,21.96
Men's Street Footwear,Midwest,Outlet,"97,258","2,262",44,"2,210",51.41
Men's Apparel,Northeast,Outlet,"95,855","2,303",126,760,18.28
Women's Athletic Footwear,West,Outlet,"92,154","2,996",125,737,23.97
Women's Athletic Footwear,Southeast,In-store,"92,104","1,638",32,"2,878",51.19
Men's Athletic Footwear,Midwest,In-store,"89,342","2,350",74,"1,207",31.76
Men's Apparel,South,Online,"88,711","2,609",140,633,18.64
Women's Street Footwear,Northeast,Outlet,"87,793","2,712",127,691,21.35
Women's Apparel,Midwest,Online,"83,372","2,988",194,429,15.4
Men's Apparel,Midwest,In-store,"82,657","1,756",75,"1,102",23.41
Women's Street Footwear,South,Online,"78,331","3,246",141,555,23.02
Women's Athletic Footwear,Northeast,Outlet,"75,980","2,251",126,603,17.87
Women's Athletic Footwear,West,Online,"75,023","2,939",168,446,17.49
Men's Apparel,West,Online,"72,103","2,565",168,429,15.27
Women's Apparel,Midwest,Outlet,"71,417","1,339",43,"1,660",31.14
Women's Athletic Footwear,South,Online,"70,796","2,636",140,505,18.83
Women's Street Footwear,Midwest,In-store,"66,713","2,096",74,901,28.32
Men's Athletic Footwear,Midwest,Outlet,"63,420","1,480",44,"1,441",33.64
Men's Athletic Footwear,Midwest,Online,"60,314","2,720",194,310,14.02
Men's Apparel,Midwest,Online,"58,216","2,009",194,300,10.36
Women's Athletic Footwear,Midwest,In-store,"55,188","1,617",73,756,22.15
Women's Street Footwear,Midwest,Outlet,"48,845","1,219",44,"1,110",27.7
Women's Street Footwear,Midwest,Online,"46,918","2,415",194,241,12.45
Women's Athletic Footwear,Midwest,Online,"42,171","1,943",195,216,9.96
Men's Apparel,Midwest,Outlet,"40,407",807,43,939,18.77
Women's Athletic Footwear,Midwest,Outlet,"38,620",974,44,877,22.14
Men's Street Footwear,Southeast,Outlet,"18,314","1,029",40,457,25.73
Women's Apparel,Southeast,Outlet,"13,897",720,40,347,18
Men's Street Footwear,Northeast,Online,"12,589","2,527",156,80,16.2
Women's Street Footwear,Southeast,Outlet,"10,799",715,39,276,18.33
Men's Athletic Footwear,Southeast,Outlet,"10,477",777,39,268,19.92
Women's Apparel,Northeast,Online,"9,304","1,694",156,59,10.86
Women's Athletic Footwear,Southeast,Outlet,"8,908",586,40,222,14.65
Men's Street Footwear,South,In-store,"7,463",161,3,"2,487",53.67
Men's Athletic Footwear,Northeast,Online,"7,227","1,551",156,46,9.94
Men's Apparel,Southeast,Outlet,"6,710",492,40,167,12.3
Women's Street Footwear,South,In-store,"6,463",118,3,"2,154",39.33
Men's Apparel,Northeast,Online,"6,457","1,173",156,41,7.52
Men's Athletic Footwear,South,In-store,"5,851",111,3,"1,950",37
Women's Street Footwear,Northeast,Online,"5,841","1,410",156,37,9.04
Women's Apparel,South,In-store,"5,363",108,3,"1,787",36
Women's Athletic Footwear,South,In-store,"5,338",116,4,"1,334",29
Women's Athletic Footwear,Northeast,Online,"4,887","1,119",156,31,7.17
Men's Apparel,South,In-store,"3,463",74,4,865,18.5
